@relation adult_test.data-weka.filters.supervised.instance.Resample-B0.0-S1-Z70.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute age numeric
@attribute ' workclass' {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute ' fnlwg' numeric
@attribute ' education' {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute ' education-num' numeric
@attribute ' marital-status' {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute ' occupation' {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute ' relationship' {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute ' race' {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute ' sex' {' Male',' Female'}
@attribute ' capital-gain' numeric
@attribute ' capital-loss' numeric
@attribute ' hours-per-week' numeric
@attribute ' native-country' {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute ' class' {' <=50K',' >50K',suspicious}

@data
35,' Private',147638,' HS-grad',9,' Married-civ-spouse',' Adm-clerical',' Wife',' Asian-Pac-Islander',' Female',0,0,40,' Hong',' <=50K'
22,' Private',535027,' Some-college',10,' Never-married',' Transport-moving',' Unmarried',' Black',' Male',0,0,15,' United-States',' <=50K'
30,' Private',226535,' HS-grad',9,' Never-married',' Transport-moving',' Not-in-family',' White',' Male',4865,0,40,' United-States',' <=50K'
75,' Private',100301,' 10th',6,' Widowed',' Other-service',' Not-in-family',' White',' Female',0,0,15,' United-States',' <=50K'
17,' Private',187879,' 9th',5,' Never-married',' Other-service',' Not-in-family',' White',' Male',0,0,50,' United-States',' <=50K'
38,' Private',374983,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
58,' Private',292710,' Assoc-acdm',12,' Divorced',' Prof-specialty',' Not-in-family',' White',' Male',0,0,36,' United-States',' <=50K'
42,' Private',275677,' Assoc-voc',11,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
18,' Private',86150,' HS-grad',9,' Never-married',' Exec-managerial',' Own-child',' Asian-Pac-Islander',' Female',0,0,15,' United-States',' <=50K'
29,' Private',39388,' HS-grad',9,' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
36,' Self-emp-not-inc',110622,' Bachelors',13,' Divorced',' Sales',' Unmarried',' Asian-Pac-Islander',' Female',0,0,8,' South',' <=50K'
20,' Private',203914,' 12th',8,' Never-married',' Other-service',' Own-child',' White',' Female',0,0,25,' United-States',' <=50K'
37,' Private',258289,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
25,' Private',184569,' HS-grad',9,' Never-married',' Handlers-cleaners',' Other-relative',' White',' Male',0,0,45,' United-States',' <=50K'
47,' Private',186539,' Some-college',10,' Married-civ-spouse',' Other-service',' Husband',' White',' Male',0,0,10,' United-States',' <=50K'
46,' Private',209739,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,46,' United-States',' <=50K'
81,' Self-emp-not-inc',184762,' Some-college',10,' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',0,0,25,' Greece',' <=50K'
66,' Private',242589,' HS-grad',9,' Married-civ-spouse',' Other-service',' Husband',' White',' Male',0,0,34,' United-States',' <=50K'
18,' Private',150675,' 10th',6,' Never-married',' Sales',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
63,' Private',85420,' Some-college',10,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,10,' United-States',' <=50K'
28,' Private',202206,' HS-grad',9,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,50,' Puerto-Rico',' <=50K'
20,' Private',361138,' HS-grad',9,' Never-married',' Sales',' Unmarried',' White',' Male',0,0,45,' United-States',' <=50K'
62,' Private',190384,' HS-grad',9,' Never-married',' Adm-clerical',' Not-in-family',' Black',' Female',0,0,37,' United-States',' <=50K'
25,' Private',131341,' HS-grad',9,' Never-married',' Farming-fishing',' Not-in-family',' White',' Male',0,0,36,' Cuba',' <=50K'
31,' Private',119033,' HS-grad',9,' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',0,0,50,' United-States',' <=50K'
43,' Private',120277,' Some-college',10,' Divorced',' Sales',' Unmarried',' White',' Male',0,0,55,' United-States',' <=50K'
24,' Private',446647,' Bachelors',13,' Never-married',' Adm-clerical',' Own-child',' White',' Male',0,0,15,' United-States',' <=50K'
28,' Private',203171,' Some-college',10,' Divorced',' Craft-repair',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
27,' Private',282313,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' Black',' Male',0,0,40,' United-States',' <=50K'
40,' Local-gov',104235,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,2051,30,' United-States',' <=50K'
24,' Private',200207,' HS-grad',9,' Never-married',' Handlers-cleaners',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
66,' ?',231315,' Assoc-acdm',12,' Widowed',' ?',' Unmarried',' White',' Female',0,0,3,' United-States',' <=50K'
64,' Self-emp-not-inc',280508,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
21,' Private',55465,' 10th',6,' Never-married',' Machine-op-inspct',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
21,' Local-gov',211385,' 11th',7,' Never-married',' Other-service',' Own-child',' Black',' Male',0,0,25,' United-States',' <=50K'
45,' Self-emp-not-inc',105838,' Assoc-voc',11,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,35,' United-States',' <=50K'
24,' Private',84319,' Some-college',10,' Never-married',' Machine-op-inspct',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
50,' Private',193871,' Masters',14,' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',0,0,38,' United-States',' <=50K'
27,' Private',110663,' HS-grad',9,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
45,' Private',160703,' Masters',14,' Divorced',' Prof-specialty',' Not-in-family',' White',' Female',0,0,55,' United-States',' <=50K'
79,' ?',23275,' 10th',6,' Married-civ-spouse',' ?',' Husband',' White',' Male',0,0,20,' United-States',' <=50K'
36,' Private',243409,' Bachelors',13,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,45,' United-States',' <=50K'
24,' Private',199426,' Bachelors',13,' Never-married',' Other-service',' Own-child',' White',' Female',0,0,30,' United-States',' <=50K'
33,' Private',241697,' Some-college',10,' Married-spouse-absent',' Sales',' Unmarried',' Amer-Indian-Eskimo',' Male',0,1602,40,' United-States',' <=50K'
30,' Private',169002,' Assoc-voc',11,' Never-married',' Adm-clerical',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
18,' ?',221312,' Some-college',10,' Never-married',' ?',' Other-relative',' White',' Male',0,0,40,' United-States',' <=50K'
38,' Private',339025,' HS-grad',9,' Married-civ-spouse',' Handlers-cleaners',' Husband',' Asian-Pac-Islander',' Male',0,1579,40,' Vietnam',' <=50K'
20,' Private',129240,' Some-college',10,' Never-married',' Sales',' Own-child',' White',' Female',0,0,30,' United-States',' <=50K'
35,' Private',28572,' 11th',7,' Never-married',' Craft-repair',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
18,' Private',110230,' 11th',7,' Never-married',' Handlers-cleaners',' Own-child',' White',' Male',0,0,5,' United-States',' <=50K'
58,' Private',77498,' HS-grad',9,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,60,' United-States',' <=50K'
62,' Private',67320,' HS-grad',9,' Widowed',' Other-service',' Other-relative',' Black',' Female',0,0,40,' United-States',' <=50K'
28,' Private',161155,' Some-college',10,' Never-married',' Craft-repair',' Unmarried',' White',' Male',0,0,48,' United-States',' <=50K'
35,' Private',67317,' Assoc-acdm',12,' Never-married',' Handlers-cleaners',' Not-in-family',' White',' Male',0,0,50,' United-States',' <=50K'
